Joueur,Équipe,Type_Match,taux_reussite,taux_reussite_sup,taux_reussite_inf,pourcentage_buts_equipe,pourcentage_buts_sup_equipe,pourcentage_buts_inf_equipe,nb_matchs,nb_actions,nb_tirs,nb_buts,nb_tirs_rates,nb_tirs_bloques,nb_arrets,tirs_sup,buts_sup,tirs_inf,buts_inf
PITER frederic - PITER,JOINVILLE HBA,domicile,54.9,45.5,0.0,7.7,7.9,0.0,8,65,51,28,2,21,0,11,5,2,0
PITER frederic - PITER,JOINVILLE HBA,extérieur,59.6,50.0,71.4,7.6,9.3,13.2,8,59,47,28,8,11,0,8,4,7,5
POITOU arthur,JOINVILLE HBA,domicile,69.2,100.0,75.0,2.5,3.2,8.8,1,15,13,9,1,3,0,2,2,4,3
RIMIZE henri-charles - RIMIZE-SQUAZZAVENTRE,JOINVILLE HBA,domicile,69.4,100.0,60.0,6.9,9.5,8.8,9,43,36,25,2,9,0,6,6,5,3
RIMIZE henri-charles - RIMIZE-SQUAZZAVENTRE,JOINVILLE HBA,extérieur,73.7,50.0,66.7,7.6,2.3,5.3,6,39,38,28,6,4,0,2,1,3,2
TALAZAC rudy-marcellin-mathieu-marvin,JOINVILLE HBA,domicile,92.9,66.7,0.0,3.6,3.2,0.0,4,16,14,13,1,0,0,3,2,0,0
TALAZAC rudy-marcellin-mathieu-marvin,JOINVILLE HBA,extérieur,22.2,0.0,0.0,0.5,0.0,0.0,3,13,9,2,3,4,0,3,0,1,0
TRAN arthur,JOINVILLE HBA,domicile,33.3,50.0,100.0,1.1,1.6,2.9,5,12,12,4,2,6,0,2,1,1,1
TRAN arthur,JOINVILLE HBA,extérieur,75.0,0.0,0.0,0.8,0.0,0.0,4,5,4,3,0,1,0,0,0,0,0
WITTRANT edgard,JOINVILLE HBA,domicile,69.0,100.0,60.0,8.0,6.3,8.8,9,44,42,29,6,7,0,4,4,5,3
WITTRANT edgard,JOINVILLE HBA,extérieur,70.4,80.0,0.0,5.2,9.3,0.0,6,31,27,19,4,4,0,5,4,0,0
